time,iteration,accuracy/result/06-23-01-50-BSP-0-outdoors
0.01,0,52.88
65.07,1,52.87
125.09,2,52.93
180.02,4,52.96
240.03,6,53.05
315.09,7,53.03
360.07,9,53.21
420.49,11,53.03
480.03,14,52.79
540.04,18,53.35
600.03,21,53.71
660.04,24,53.74
720.09,27,54.46
780.09,31,54.39
840.08,34,54.51
900.04,38,55.33
960.46,41,55.04
1020.02,44,54.51
1080.05,48,54.18
1140.42,51,54.13
1260.03,56,54.72
1440.04,64,56.61
1620.12,75,54.43
1800.12,79,57.2
1980.04,87,56.99
2160.03,97,55.93
2340.13,118,57.74
2520.12,125,57.46
2700.1,129,57.88
2880.05,135,58.95
3060.04,146,59.23
3240.04,167,60.53
3420.06,182,60.76
3600.12,186,60.8
3780.02,190,60.84
3960.07,199,61.2
4140.11,213,61.69
4320.04,259,62.24
4500.11,291,63.33
4680.04,329,62.16
4860.12,346,63.77
5400.12,377,64.69
5940.02,391,64.42
6480.13,409,64.94
7020.11,460,64.98
7560.03,481,64.9
8100.06,498,64.9
8640.12,517,65.08
9180.13,548,64.84
9720.06,578,65.47
10260.04,622,66.44
10800.11,652,66.78
11340.18,741,66.97
11880.04,771,67.53
12420.03,792,67.79
12960.09,829,67.74
13500.13,924,68.1
14040.07,946,68.19
14580.12,967,67.78
15120.03,985,68.13
16200.03,1017,67.65
17820.03,1138,68.32
19440.1,1228,68.38
21060.09,1325,68.63
22680.03,1498,68.8
