time,iteration,accuracy/result/06-25-20-41-SSP-20-outdoors
0.01,0,52.88
60.06,2,52.89
120.03,4,52.91
180.09,11,52.99
240.05,27,52.99
300.02,27,53.03
360.05,43,55.32
420.08,46,55.9
480.06,49,55.98
540.04,52,55.5
600.08,57,54.12
660.07,60,54.35
720.03,63,55.15
780.09,67,56.07
840.04,70,56.48
900.05,75,56.15
960.03,79,56.05
1020.02,82,56.25
1080.04,87,56.33
1140.03,91,57.04
1260.13,100,58.65
1440.11,123,57.36
1620.03,134,58.72
1800.13,139,59.23
1980.04,146,57.64
2160.09,157,59.67
2340.13,195,61.03
2520.12,208,60.79
2700.03,213,61.79
2880.12,219,60.36
3060.12,230,60.52
3240.11,249,61.04
3420.06,288,63.32
3600.05,299,63.76
3780.04,303,63.53
3960.03,311,63.33
4140.02,324,64.18
4320.13,374,64.34
4500.11,430,65.46
4680.31,477,64.46
4860.04,500,64.39
5400.02,569,66.07
5940.04,603,66.4
6480.02,626,66.8
7020.07,714,64.49
7560.14,760,66.78
8100.03,810,67.8
8640.09,856,67.74
9180.04,901,67.98
9720.06,957,67.87
