time,iteration,accuracy/result/06-26-04-41-ROG-20-outdoors
0.01,0,52.88
60.29,9,52.8
120.29,23,53.38
180.06,34,53.89
240.03,44,53.89
300.61,46,54.91
360.08,62,54.07
420.12,75,55.72
480.09,86,55.46
540.02,98,57.03
600.37,111,57.43
660.08,124,58.9
720.03,136,58.63
780.07,149,59.78
840.43,162,60.58
900.16,176,60.19
960.08,190,59.23
1020.03,203,61.95
1080.36,216,60.84
1140.03,227,62.28
1260.12,247,62.9
1440.3,273,63.26
1620.18,307,61.9
1801.09,328,64.01
1980.24,355,64.7
2160.08,388,65.75
2340.14,428,65.88
2520.2,459,66.58
2700.11,477,66.44
2880.22,499,66.92
3061.06,526,66.98
3240.11,566,66.81
3420.16,608,67.69
3600.1,629,67.3
3780.2,648,67.76
3960.61,675,67.47
4140.35,709,68.06
4320.25,756,68.07
4500.16,807,68.39
4680.24,857,68.52
4860.27,901,68.34
5400.48,1015,68.89
